t,t_game_ms,lap,lapDist,invalid,speed,rpm,gear,throttle,brake
1766588186.594520,172370.0,28,749.734,1,0,3987,2,0.000,0.000
1766588186.605622,172387.0,28,749.734,1,0,3990,2,0.000,0.000
1766588186.624870,172404.0,28,749.734,1,0,3993,2,0.000,0.000
1766588186.640198,172420.0,28,749.734,1,0,3996,2,0.000,0.000
1766588186.657413,172437.0,28,749.734,1,0,3999,2,0.000,0.000
1766588186.672633,172454.0,28,749.734,1,0,4002,2,0.000,0.000
1766588186.691457,172470.0,28,749.734,1,0,4005,2,0.000,0.000
1766588186.706448,172487.0,28,749.734,1,0,4008,2,0.000,0.000
1766588186.723582,172504.0,28,749.734,1,0,4011,2,0.000,0.000
1766588186.738298,172520.0,28,749.734,1,0,4013,2,0.000,0.000
1766588186.762752,172537.0,28,749.734,1,0,4015,2,0.000,0.000
1766588186.776568,172554.0,28,749.734,1,0,4017,2,0.000,0.000
1766588186.791479,172570.0,28,749.734,1,0,4018,2,0.000,0.000
1766588186.806599,172587.0,28,749.734,1,0,4019,2,0.000,0.000
1766588186.824799,172604.0,28,749.734,1,0,4019,2,0.000,0.000
1766588186.862942,172620.0,28,749.734,1,0,4018,2,0.000,0.000
1766588186.862942,172637.0,28,749.734,1,0,4017,2,0.000,0.000
1766588186.870964,172654.0,28,749.734,1,0,4016,2,0.000,0.000
1766588186.891528,172670.0,28,749.734,1,0,4014,2,0.000,0.000
1766588186.906765,172687.0,28,749.734,1,0,4012,2,0.000,0.000
1766588186.922889,172704.0,28,749.734,1,0,4009,2,0.000,0.000
1766588186.938009,172720.0,28,749.734,1,0,4006,2,0.000,0.000
1766588186.958184,172737.0,28,749.734,1,0,4003,2,0.000,0.000
1766588186.973371,172754.0,28,749.734,1,0,4000,2,0.000,0.000
1766588186.988481,172770.0,28,749.734,1,0,3997,2,0.000,0.000
1766588187.003593,172787.0,28,749.734,1,0,3993,2,0.000,0.000
1766588187.024884,172804.0,28,749.734,1,0,3991,2,0.000,0.000
1766588187.040069,172820.0,28,749.734,1,0,3988,2,0.000,0.000
1766588187.059211,172837.0,28,749.734,1,0,3986,2,0.000,0.000
1766588187.074342,172854.0,28,749.734,1,0,3984,2,0.000,0.000
1766588187.102551,172871.0,28,749.734,1,0,3982,2,0.000,0.000
1766588187.102551,172887.0,28,749.734,1,0,3981,2,0.000,0.000
1766588187.139946,172904.0,28,749.734,1,0,3981,2,0.000,0.000
1766588187.175683,172921.0,28,749.734,1,0,3981,2,0.000,0.000
1766588187.175683,172937.0,28,749.734,1,0,3981,2,0.000,0.000
1766588187.182240,172954.0,28,749.734,1,0,3982,2,0.000,0.000
1766588187.191278,172971.0,28,749.734,1,0,3984,2,0.000,0.000
1766588187.206564,172987.0,28,749.734,1,0,3986,2,0.000,0.000
1766588187.222620,173004.0,28,749.734,1,0,3988,2,0.000,0.000
1766588187.239862,173021.0,28,749.734,1,0,3991,2,0.000,0.000
1766588187.258156,173037.0,28,749.734,1,0,3994,2,0.000,0.000
1766588187.273077,173054.0,28,749.734,1,0,3997,2,0.000,0.000
1766588187.288286,173071.0,28,749.734,1,0,4000,2,0.000,0.000
1766588187.324100,173087.0,28,749.734,1,0,4003,2,0.000,0.000
1766588187.324100,173104.0,28,749.734,1,0,4006,2,0.000,0.000
1766588187.339287,173121.0,28,749.734,1,0,4009,2,0.000,0.000
1766588187.358121,173137.0,28,749.734,1,0,4012,2,0.000,0.000
1766588187.374187,173154.0,28,749.734,1,0,4014,2,0.000,0.000
